date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:18:07	25951/25951	---M--	200	added ('OK')	image/jpeg	etag:%22655f-5b12923907b00%22	https://davur.dexignzone.com/welcome/images/inner-page/app-calender-mobile.jpg	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/inner-page/app-calender-mobile.jpg	(from https://davur.dexignzone.com/)
20:18:07	60706/60706	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Dec%202021%2018:15:38%20GMT	https://davur.dexignzone.com/dashboard/chart-chartjs.html	G:/Templates/kiot-student-cafe/davur.dexignzone.com/dashboard/chart-chartjs.html	(from https://davur.dexignzone.com/)
20:18:07	40337/40337	---M--	200	added ('OK')	image/jpeg	etag:%229d91-5b12923907b00%22	https://davur.dexignzone.com/welcome/images/inner-page/chart-chartjs.jpg	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/inner-page/chart-chartjs.jpg	(from https://davur.dexignzone.com/)
20:18:08	35948/35948	---M--	200	added ('OK')	image/jpeg	etag:%228c6c-5b12923907b00%22	https://davur.dexignzone.com/welcome/images/inner-page/chart-chartjs-mobile.jpg	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/inner-page/chart-chartjs-mobile.jpg	(from https://davur.dexignzone.com/)
20:18:08	57718/57718	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Dec%202021%2018:15:38%20GMT	https://davur.dexignzone.com/dashboard/chart-sparkline.html	G:/Templates/kiot-student-cafe/davur.dexignzone.com/dashboard/chart-sparkline.html	(from https://davur.dexignzone.com/)
20:18:08	36971/36971	---M--	200	added ('OK')	image/jpeg	etag:%22906b-5b12923907b00%22	https://davur.dexignzone.com/welcome/images/inner-page/chart-sparkline.jpg	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/inner-page/chart-sparkline.jpg	(from https://davur.dexignzone.com/)
20:18:08	25734/25734	---M--	200	added ('OK')	image/jpeg	etag:%226486-5b12923907b00%22	https://davur.dexignzone.com/welcome/images/inner-page/chart-sparkline-mobile.jpg	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/inner-page/chart-sparkline-mobile.jpg	(from https://davur.dexignzone.com/)
20:18:09	127749/127749	---M--	200	added ('OK')	image/png	etag:%221f305-5b1291d020380%22	https://davur.dexignzone.com/welcome/images/rv.png	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/rv.png	(from https://davur.dexignzone.com/)
20:18:09	4354/4354	---M--	200	added ('OK')	image/png	etag:%221102-5a7dd93a18380%22	https://davur.dexignzone.com/welcome/images/icons/1.png	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/icons/1.png	(from https://davur.dexignzone.com/)
20:18:09	1726/1726	---M--	200	added ('OK')	image/png	etag:%226be-5a7dd93a18380%22	https://davur.dexignzone.com/welcome/images/icons/3.png	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/icons/3.png	(from https://davur.dexignzone.com/)
20:18:09	3417/3417	---M--	200	added ('OK')	image/png	etag:%22d59-5a7dd93a18380%22	https://davur.dexignzone.com/welcome/images/icons/4.png	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/icons/4.png	(from https://davur.dexignzone.com/)
20:18:10	3898/3898	---M--	200	added ('OK')	image/png	etag:%22f3a-5a7dd93a18380%22	https://davur.dexignzone.com/welcome/images/icons/5.png	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/icons/5.png	(from https://davur.dexignzone.com/)
20:18:10	5248/5248	---M--	200	added ('OK')	image/png	etag:%221480-5a7dd93a18380%22	https://davur.dexignzone.com/welcome/images/icons/6.png	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/icons/6.png	(from https://davur.dexignzone.com/)
20:18:10	2282/2282	---M--	200	added ('OK')	image/png	etag:%228ea-5a7dd93a18380%22	https://davur.dexignzone.com/welcome/images/icons/7.png	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/icons/7.png	(from https://davur.dexignzone.com/)
20:18:10	2526/2526	---M--	200	added ('OK')	image/png	etag:%229de-5a7dd93a18380%22	https://davur.dexignzone.com/welcome/images/icons/8.png	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/icons/8.png	(from https://davur.dexignzone.com/)
20:18:11	2597/2597	---M--	200	added ('OK')	image/png	etag:%22a25-5a7dd93a18380%22	https://davur.dexignzone.com/welcome/images/icons/9.png	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/icons/9.png	(from https://davur.dexignzone.com/)
20:18:11	2489/2489	---M--	200	added ('OK')	image/png	etag:%229b9-5a7dd93a18380%22	https://davur.dexignzone.com/welcome/images/icons/10.png	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/icons/10.png	(from https://davur.dexignzone.com/)
20:18:11	5293/5293	---M--	200	added ('OK')	image/png	etag:%2214ad-5a7dd93a18380%22	https://davur.dexignzone.com/welcome/images/icons/11.png	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/icons/11.png	(from https://davur.dexignzone.com/)
20:18:11	1106/1106	---M--	200	added ('OK')	image/png	etag:%22452-5a7dd93c00800%22	https://davur.dexignzone.com/welcome/images/icons/15.png	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/icons/15.png	(from https://davur.dexignzone.com/)
20:18:11	1304/1304	---M--	200	added ('OK')	image/png	etag:%22518-5a7dd93c00800%22	https://davur.dexignzone.com/welcome/images/icons/16.png	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/icons/16.png	(from https://davur.dexignzone.com/)
20:18:12	784/784	---M--	200	added ('OK')	image/png	etag:%22310-5a7dd93c00800%22	https://davur.dexignzone.com/welcome/images/icons/17.png	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/icons/17.png	(from https://davur.dexignzone.com/)
20:18:12	2579/2579	---M--	200	added ('OK')	image/png	etag:%22a13-5a7dd93c00800%22	https://davur.dexignzone.com/welcome/images/icons/18.png	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/icons/18.png	(from https://davur.dexignzone.com/)
